id,action_sequence,first_action_rb,fact,ai_assistance
akmro,1076-658-3316-10686-10909-704-105-114-105-775-822-164-17762-2613-105-4491-105-2408,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 18 thao tác. Chỉ số hỗn loạn (Entropy): 3.73.",G=G003|TAG=ANCHOR_LOOP|P=LOW|COUNT=153|REP=kmf6g|A=105|ABA=2|Buniq=2
x3wbs,1076-658-3316-760-1593-8615-105-1126-105-4491-822-10477-697-105-4347-105-929,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.62.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
nsj8v,1076-658-3316-12516-1143-105-867-105-3876-822-10477-697-105-1127-105-907,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 16 thao tác. Chỉ số hỗn loạn (Entropy): 3.5.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
fy6y8,1076-658-3316-12516-5451-4521-2669-105-114-105-3382-822-12516-5451-105-906-105-4359,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 18 thao tác. Chỉ số hỗn loạn (Entropy): 3.5.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
kgoz3,1076-658-3316-10686-10909-704-105-867-105-4519-822-164-17762-2613-105-1072-105-4391,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 18 thao tác. Chỉ số hỗn loạn (Entropy): 3.73.",G=G003|TAG=ANCHOR_LOOP|P=LOW|COUNT=153|REP=kmf6g|A=105|ABA=2|Buniq=2
x0nqx,1076-658-3316-10686-10909-704-105-112-105-4187-822-12516-5451-105-1072-105-4899,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.62.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
qi6x4,1076-658-3316-12516-5451-4521-2669-105-107-105-4275-822-7943-105-1243-105-4311,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.62.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
imn3i,1076-658-3316-836-105-929-105-4615-822-10686-10909-704-105-115-105-4729,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 16 thao tác. Chỉ số hỗn loạn (Entropy): 3.5.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
mppan,1076-658-3316-760-1165-105-1072-105-3362-822-12516-5451-105-4037-105-906,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 16 thao tác. Chỉ số hỗn loạn (Entropy): 3.5.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
mawcb,1076-658-3316-12516-5451-4521-2669-105-905-105-4966-822-760-1593-8615-105-4507-105-3562,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 19 thao tác. Chỉ số hỗn loạn (Entropy): 3.83.",G=G003|TAG=ANCHOR_LOOP|P=LOW|COUNT=153|REP=kmf6g|A=105|ABA=2|Buniq=2
tbf1r,1076-658-3316-10686-10909-704-105-979-105-1072-822-760-1593-8615-105-1127-105-2032,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 18 thao tác. Chỉ số hỗn loạn (Entropy): 3.73.",G=G003|TAG=ANCHOR_LOOP|P=LOW|COUNT=153|REP=kmf6g|A=105|ABA=2|Buniq=2
mdyrk,1076-658-3316-164-17762-2613-105-906-105-3889-822-685-2207-8615-105-929-105-2913,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 18 thao tác. Chỉ số hỗn loạn (Entropy): 3.73.",G=G003|TAG=ANCHOR_LOOP|P=LOW|COUNT=153|REP=kmf6g|A=105|ABA=2|Buniq=2
bqc99,1076-658-3316-12516-5451-105-1353-105-2039-822-164-17762-2613-105-1126-105-4359,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.62.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
panvv,1076-658-3316-760-1593-8615-105-4491-105-4840-822-7943-105-1042-105-4275,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 16 thao tác. Chỉ số hỗn loạn (Entropy): 3.5.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
cag05,1076-658-3316-836-105-1353-105-4350-822-164-889-105-1455-105-3114,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 15 thao tác. Chỉ số hỗn loạn (Entropy): 3.37.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
zg84i,1076-658-3316-12516-1143-105-4507-105-4486-822-10477-697-105-976-105-976,"['105', '976']","Phát hiện 3 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 16 thao tác. Chỉ số hỗn loạn (Entropy): 3.37.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
pc6x6,1076-658-3316-164-889-105-1126-105-4117-822-10477-697-105-109-105-1042,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 16 thao tác. Chỉ số hỗn loạn (Entropy): 3.5.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
vl96c,1076-658-3316-10686-10909-704-105-110-105-4275-822-12516-1143-105-4037-105-4599,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.62.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
z2iol,1076-658-3316-12516-1143-105-929-105-3562-822-164-17762-2613-105-108-105-4465,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.62.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
cm1wf,1076-658-3316-10477-697-105-906-105-929-822-12516-5451-105-108-105-4306,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 16 thao tác. Chỉ số hỗn loạn (Entropy): 3.5.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
qrvlk,1076-658-3316-164-889-105-905-105-4691-822-685-2207-8615-105-979-105-906,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.62.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
v6oo2,1076-658-3316-12516-5451-105-1126-105-4603-822-7943-105-905-105-1265,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 15 thao tác. Chỉ số hỗn loạn (Entropy): 3.37.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
j7fb0,1076-658-3316-12516-1143-105-906-105-2088-822-10686-10909-704-105-4347-105-906,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 17 thao tác. Chỉ số hỗn loạn (Entropy): 3.5.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
ezs84,1076-658-3316-760-1165-105-907-105-3065-822-7943-105-992-105-4706,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 15 thao tác. Chỉ số hỗn loạn (Entropy): 3.37.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
anrqq,1076-658-3316-760-1593-8615-105-1012-105-906-822-12516-5451-4521-2669-105-4037-105-4425,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 19 thao tác. Chỉ số hỗn loạn (Entropy): 3.83.",G=G003|TAG=ANCHOR_LOOP|P=LOW|COUNT=153|REP=kmf6g|A=105|ABA=2|Buniq=2
utclk,1076-658-3316-10686-10909-704-105-1012-105-2883-822-685-2207-8615-105-110-105-4306,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 18 thao tác. Chỉ số hỗn loạn (Entropy): 3.73.",G=G003|TAG=ANCHOR_LOOP|P=LOW|COUNT=153|REP=kmf6g|A=105|ABA=2|Buniq=2
wr8rm,1076-658-3316-12516-1143-105-1244-105-4037-822-7943-105-1243-105-1042,['105'],"Phát hiện 2 lần lặp 3 bước (A-B-A), 0 lần lặp 4 bước (A-B-C-A). Độ dài chuỗi: 15 thao tác. Chỉ số hỗn loạn (Entropy): 3.37.",G=G001|TAG=ANCHOR_LOOP|P=LOW|COUNT=1018|REP=ihcfr|A=105|ABA=2|Buniq=2
